Categoria;Tipologia;Codice;Descrizione1;Descrizione2;DescrizioneLungaHtml;Marca;Giacenza;UrlImgBig;Prezzo;Aliquota;CampoVuoto1;Peso
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-10";"COVER IN TPU PER IPHONE 4G BIANCA KEYTECK";"Per i modelli: APPLE iPhone 4G";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"KEYTECK";"2";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-10.jpg";"2,35";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-11";"COVER IN TPU PER IPHONE 4G ROSA KEYTECK";"Per i modelli: APPLE iPhone 4G";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"KEYTECK";"3";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-11.jpg";"2,35";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-12";"COVER IN AIRHOLE PER IPHONE 3G / 3GS ROSA KEYTECK";"Per i modelli: APPLE iPhone 3G - iPhone 3G 16GB - iPhone 3G 8GB - iPhone 3G S -";"<p>Cover per IPHONE 3G / 3GS rosa.<br>Protegge il tuo IPHONE da urti o graffi.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"KEYTECK";"3";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-12.jpg";"2,63";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-13";"COVER IN AIRHOLE PER IPHONE 4G BIANCA KEYTECK";"Per i modelli: APPLE iPhone 4G";"<p>Cover per IPHONE 4 bianca.<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"KEYTECK";"3";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-13.jpg";"2,63";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-14";"COVER IN AIRHOLE PER IPHONE 4G NERA KEYTECK";"Per i modelli: APPLE iPhone 4G";"<p>Cover per IPHONE 4 nera .<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"KEYTECK";"2";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-14.jpg";"2,63";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-15";"COVER IN AIRHOLE PER IPHONE 4G SILVER KEYTECK";"Per i modelli: APPLE iPhone 4G";"<p>Cover per IPHONE 4 silver.<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"KEYTECK";"2";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-15.jpg";"2,63";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-16";"COVER IN AIRHOLE PER IPHONE 4G ROSA KEYTECK";"Per i modelli: APPLE iPhone 4G";"<p>Cover per IPHONE 4 rosa.<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"KEYTECK";"2";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-16.jpg";"2,63";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-17";"COVER IN BUMPER PER IPHONE 4G TRASPARENTE KEYTECK";"Per i modelli: APPLE iPhone 4G";"<p>Cover bumper per IPHONE 4 trasparente.<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"KEYTECK";"1";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-17.jpg";"2,06";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"MUCCPBKIP3G010";"COVER POSTERIORE PER APPLE iPhone 3G/3G S BANDIERA UK + SCREEN PROTECTOR";"Per i modelli: APPLE iPhone 3G - iPhone 3G 16GB - iPhone 3G 8GB - iPhone 3G S - con screen protector.";"<p>Cover flag bag posteriore protettiva con la bandiera inglese con screen protector.<br><br>Compatibile per i  seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"MUVIT";"0";"http://www.entropic.it/Public/foto/cover-iphone-3g-uk.jpg";"8,90";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"MUFLAGBACKIP3GUSA";"COVER POSTERIORE PER APPLE iPhone 3G/3G S BANDIERA U.S.A. + SCREEN PROTECTOR";"Per i modelli: APPLE iPhone 3G - iPhone 3G 16GB - iPhone 3G 8GB - iPhone 3G S - con screen protector.";"<p>Cover flag bag posteriore protettiva con la bandiera americana con screen protector.<br><br>Compatibile per i  seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"MUVIT";"0";"http://www.entropic.it/Public/foto/cover-iphone-3g-usa.jpg";"8,90";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"MULUXBACKIP3GPETRO";"COVER POSTERIORE PER APPLE iPhone 3G/3G S DISEGNI FLOREALI AZZURRO TRASPARENTE + SCREEN PROTECTOR";"Per i modelli: APPLE iPhone 3G - iPhone 3G 16GB - iPhone 3G 8GB - iPhone 3G S - con screen protector.";"<p>Cover posteriore protettiva argento con disegni florali azzurro trasparente, con <br>screen protector <br><br>Compatibile per i  seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"MUVIT";"1";"http://www.entropic.it/Public/foto/cover-iphone-3g-luxury.jpg";"8,90";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"SYLUMY001";"COVER POSTERIORE PER APPLE iPhone 3G/3G S SWEET YEARS LUMINESCENTE + SCREEN PROTECTOR";"Per i modelli: APPLE iPhone 3G - iPhone 3G 16GB - iPhone 3G 8GB - iPhone 3G S - con screen protector.";"<p>Cover posteriore per proteggere il tuo iPhone SWEET YEARS, si illumina al buio.<br>Con screen protector.<br><br><br>Compatibile per i  seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"SWEET YEARS";"1";"http://www.entropic.it/Public/foto/cover-iphone-3g-sweetyears-luminescente.jpg";"9,00";"21";"";"0,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"CPD-01";"COVER IN TPU PER IPAD NERA KEYTECK";"Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"KEYTECK";"3";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_CPD-01.jpg";"7,37";"21";"";"2"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"CPD-02";"COVER IN TPU PER IPAD TRASPARENTE KEYTECK";"Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"KEYTECK";"4";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_CPD-02.jpg";"7,37";"21";"";"2"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"CPD-03";"CUSTODIA IN PELLE PER IPAD KEYTECK";"CUSTODIA IN PELLE PER IPAD";"<p>Elegante custodia in pelle per IPAD.<br>&Egrave; la soluzione ideale per proteggere il vostro dispositivo da cadute e urti.<br>Grazie ad un libero accesso a ogni porta e controllo, &egrave; inoltre possibile utilizzare appieno il dispositivo dal suo interno.</p>";"KEYTECK";"7";"http://www.entropic.it/Public/foto/custodia_ipad_keyteck_CPD-03.jpg";"11,20";"21";"";"1,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-002";"CUSTODIA KEYTECK CRYSTAL PER IPAD I-002";"Aderendo perfettamente, mantiene un design sottile e fornisce anche un facile accesso a tutte le porte del dispositivo senza doverlo rimuovere dalla custodia.";"<p>Il leggero ma robusto Crystal Case Keyteck garantisce un'elevata protezione al tuo IPAD grazie al suo guscio realizzato in policarbonato.<br>Aderendo perfettamente, mantiene un design sottile e fornisce anche un facile accesso a tutte le porte del dispositivo senza doverlo rimuovere dalla custodia.</p>";"KEYTECK";"3";"http://www.entropic.it/Public/foto/CRYSTAL_CASE_PER_IPAD_I-002.jpg";"4,70";"21";"";"1,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-006BK";"COVER IN TPU NERA PER IPAD KEYTECK";"Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"KEYTECK";"3";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_I-006BK.jpg";"4,58";"21";"";"2"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-006PK";"COVER IN TPU ROSA PER IPAD KEYTECK";"Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"KEYTECK";"3";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_I-006PK.jpg";"4,58";"21";"";"2"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-006T";"COVER IN TPU TRASPARENTE PER IPAD KEYTECK";"Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"KEYTECK";"3";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_I-006T.jpg";"4,58";"21";"";"2"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-022";"CUSTODIA E STAND KEYTECK IN PELLE NERA PER IPAD I-022";"E' la soluzione ideale per proteggere il vostro dispositivo da cadute e urti.";"<p>Elegante custodia-stand in pelle. &Egrave; la soluzione ideale per proteggere il vostro dispositivo da cadute e urti.<br>Grazie a un libero accesso a ogni porta e controllo, &egrave; inoltre possibile utilizzare appieno il dispositivo dal suo interno.<br>Grazie ad un'aletta a scomparsa posta sul retro, &egrave; possibile posizionare il dispositivo in landscape e regolarne l'inclinazione.</p>";"KEYTECK";"3";"http://www.entropic.it/Public/foto/custodia_e_supporto_ipad_keyteck_I-022.jpg";"7,18";"21";"";"1"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-024AZ";"CUSTODIA AZZURRA SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"Adatto per dispositivi fino a 10''";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"KEYTECK";"3";"http://www.entropic.it/Public/foto/I-024AZ_keyteck_custodia_SHOCKOLOR.jpg";"3,13";"21";"";"1,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-024BK";"CUSTODIA NERA SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"Adatto per dispositivi fino a 10''";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"KEYTECK";"1";"http://www.entropic.it/Public/foto/I-024BK_keyteck_custodia_SHOCKOLOR.jpg";"3,13";"21";"";"1,5"
"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-024GR";"CUSTODIA VERDE SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"Adatto per dispositivi fino a 10''";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"KEYTECK";"3";"http://www.entropic.it/Public/foto/I-024GR_keyteck_custodia_SHOCKOLOR.jpg";"3,13";"21";"";"1,5"
