Settore;Categoria;Tipologia;Gruppo;Ean;Codice;Descrizione1;DescrizioneLungaHtml;Giacenza;Marca;Prezzo;Peso;UrlImgBig;CostoSpedizioneProdo;CampoVuoto1
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"iPhone  4G";"8033140057193";"CPH-16";"COVER IN AIRHOLE PER IPHONE 4G ROSA KEYTECK";"<p>Cover per IPHONE 4 rosa.<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"2";"KEYTECK";"2,57";"0,5";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-16.jpg";"5,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"iPhone 3G/3G S";"3700165384799";"MULUXBACKIP3GPETRO";"COVER POSTERIORE PER APPLE iPhone 3G/3G S DISEGNI FLOREALI AZZURRO TRASPARENTE + SCREEN PROTECTOR";"<p>Cover posteriore protettiva argento con disegni florali azzurro trasparente, con <br>screen protector <br><br>Compatibile per i  seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"1";"MUVIT";"8,90";"0,5";"http://www.entropic.it/Public/foto/cover-iphone-3g-luxury.jpg";"5,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"iPhone 3G/3G S";"8021735986942";"SYLUMY001";"COVER POSTERIORE PER APPLE iPhone 3G/3G S SWEET YEARS LUMINESCENTE + SCREEN PROTECTOR";"<p>Cover posteriore per proteggere il tuo iPhone SWEET YEARS, si illumina al buio.<br>Con screen protector.<br><br><br>Compatibile per i  seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"1";"SWEET YEARS";"9,00";"0,5";"http://www.entropic.it/Public/foto/cover-iphone-3g-sweetyears-luminescente.jpg";"5,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140056943";"CPD-01";"COVER IN TPU PER IPAD NERA KEYTECK";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"3";"KEYTECK";"7,23";"2";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_CPD-01.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140056950";"CPD-02";"COVER IN TPU PER IPAD TRASPARENTE KEYTECK";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"4";"KEYTECK";"7,23";"2";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_CPD-02.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140056967";"CPD-03";"CUSTODIA IN PELLE PER IPAD KEYTECK";"<p>Elegante custodia in pelle per IPAD.<br>&Egrave; la soluzione ideale per proteggere il vostro dispositivo da cadute e urti.<br>Grazie ad un libero accesso a ogni porta e controllo, &egrave; inoltre possibile utilizzare appieno il dispositivo dal suo interno.</p>";"5";"KEYTECK";"10,97";"1,5";"http://www.entropic.it/Public/foto/custodia_ipad_keyteck_CPD-03.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140057148";"I-002";"CUSTODIA KEYTECK CRYSTAL PER IPAD I-002";"<p>Il leggero ma robusto Crystal Case Keyteck garantisce un'elevata protezione al tuo IPAD grazie al suo guscio realizzato in policarbonato.<br>Aderendo perfettamente, mantiene un design sottile e fornisce anche un facile accesso a tutte le porte del dispositivo senza doverlo rimuovere dalla custodia.</p>";"3";"KEYTECK";"4,61";"1,5";"http://www.entropic.it/Public/foto/CRYSTAL_CASE_PER_IPAD_I-002.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140057094";"I-006BK";"COVER IN TPU NERA PER IPAD KEYTECK";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"3";"KEYTECK";"4,48";"2";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_I-006BK.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140057087";"I-006PK";"COVER IN TPU ROSA PER IPAD KEYTECK";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"3";"KEYTECK";"4,48";"2";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_I-006PK.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140057100";"I-006T";"COVER IN TPU TRASPARENTE PER IPAD KEYTECK";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"3";"KEYTECK";"4,48";"2";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_I-006T.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140057131";"I-022";"CUSTODIA E STAND KEYTECK IN PELLE NERA PER IPAD I-022";"<p>Elegante custodia-stand in pelle. &Egrave; la soluzione ideale per proteggere il vostro dispositivo da cadute e urti.<br>Grazie a un libero accesso a ogni porta e controllo, &egrave; inoltre possibile utilizzare appieno il dispositivo dal suo interno.<br>Grazie ad un'aletta a scomparsa posta sul retro, &egrave; possibile posizionare il dispositivo in landscape e regolarne l'inclinazione.</p>";"1";"KEYTECK";"7,03";"1";"http://www.entropic.it/Public/foto/custodia_e_supporto_ipad_keyteck_I-022.jpg";"5,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140057223";"I-024AZ";"CUSTODIA AZZURRA SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"3";"KEYTECK";"3,06";"1,5";"http://www.entropic.it/Public/foto/I-024AZ_keyteck_custodia_SHOCKOLOR.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140057230";"I-024GR";"CUSTODIA VERDE SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"3";"KEYTECK";"3,06";"1,5";"http://www.entropic.it/Public/foto/I-024GR_keyteck_custodia_SHOCKOLOR.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140057216";"I-024OR";"CUSTODIA ARANCIONE SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"2";"KEYTECK";"3,06";"1,5";"http://www.entropic.it/Public/foto/I-024OR_keyteck_custodia_SHOCKOLOR.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"";"8033140057117";"I-024PK";"CUSTODIA VIOLA SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"2";"KEYTECK";"3,06";"1,5";"http://www.entropic.it/Public/foto/I-024PK_keyteck_custodia_SHOCKOLOR.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Accessori TABLET-PDA";"";"885909396924";"MC533T/A";"IPAD KEYBOARD DOCK BASE CON TASTIERA ORIGINALE";"<p>Apple iPad Keyboard Dock - Italiano <br><br>L'iPad Keyboard Dock &egrave; un supporto di ricarica che include anche una tastiera full-size con tasti speciali che attivano le funzioni dell'iPad. Ha un connettore a 30 pin posteriore che ti permette di collegarlo a una presa elettrica con l'alimentatore USB, sincronizzare il tuo computer e usare altri accessori come gli adattatori Camera Connection Kit. Il jack audio invece ti permette di collegarlo a uno stereo o ad altoparlanti amplificati (cavo audio in vendita separatamente). <br><br>L'iPad Keyboard Dock &egrave; una base molto utile per il tuo iPad. Integra una tastiera incorporata Apple in alluminio con un supporto per sincronizzare, caricare e altro ancora. Supporta anche altri accessori, come l'adattatore da connettore dock a VGA per iPad e l'iPad Camera Connection Kit. <br><br>L'iPad Keyboard Dock pu&ograve; essere utilizzato anche per: <br><br>.Collegare il dock al computer tramite il cavo USB incluso nell'iPad per sincronizzare l'iPad e caricare la batteria.<br>.Collegare il Dock a una presa elettrica tramite l'USB Power Adapter 10W in dotazione con il iPad per caricare la batteria dell'iPad.<br>.Posizionare l'iPad alla corretta angolazione per comporre e-mail e note con la tastiera o per vedere le foto o i tuoi video preferiti.<br>.Collegare il dock a un proiettore o alla TV tramite un cavo compatibile, ad esempio l'adattatore da connettore dock a VGA per iPad o il cavo AV Component Apple o composito Apple.*<br>.Collegare il dock a uno stereo o agli altoparlanti tramite un cavo AV o un cavo audio stereo per riprodurre la musica dall'iPad.*<br>Informazioni sulla tastiera <br><br>.La tastiera esterna dispone di un supporto in alluminio anodizzato lucido con tasti a basso profilo che offrono una percezione incisiva e reattiva in un design ultracompatto che richiede uno spazio ridottissimo. I tasti speciali forniscono l'accesso one-touch a una variet&agrave; di caratteristiche iPad, tra cui la schermata Home, la ricerca con Spotlight, la luminosit&agrave; dello schermo, la modalit&agrave; Cornice foto, la videotastiera e il blocco schermo.<br>* Cavo in vendita separatamente. <br><br><br>SPECIFICHE<br>Colore primario grigio Tonalit&agrave; colore primario argento <br>Colore secondario bianco Tipologia generica Base con tastiera <br>Tipologia specifica base per carica e sincronizzazione Funzione scrivere <br>Materiale alluminio   <br><br>DIMENSIONI<br>Altezza 50 mm Larghezza 280 mm <br>Profondit&agrave; 170 mm Peso 1.200 gr <br><br>COMPATIBILIT&Agrave;<br>Ipad 1 S&igrave;</p>";"1";"APPLE";"49,00";"3";"http://www.entropic.it/Public/foto/iPAD_KEYBOARD_DOCK_MC533T.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Accessori TABLET-PDA";"";"8033140057063";"I-027";"CAVO KEYTECK USB ALIMENTAZIONE E DATI PER IPHONE IPOD E IPAD";"<p>Cavo USB compatibile co IPHONE, IPAD e IPOD.<br><br>Utile per sincronizzare o ricaricare il tuo dispositivo attraverso la porta USB <br>del tuo computer.</p>";"1";"KEYTECK";"3,98";"0";"http://www.entropic.it/Public/foto/CAVO_USB_ALIMENTAZIONE_DATI_IPHONE-IPOD-I0PAD_I-027_keyteck.jpg";"5,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD2";"";"8033140058008";"CPD-04";"COVER IN TPU PER IPAD2 NERA KEYTECK";"<p>Elegante custodia in TPU nero per IPAD.<br>&Egrave; la soluzione ideale per proteggere il vostro dispositivo da cadute e urti.<br><br>Grazie ad un libero accesso a ogni porta e controllo, &egrave; inoltre possibile utilizzare appieno il dispositivo dal suo interno.</p>";"2";"KEYTECK";"5,66";"2";"http://www.entropic.it/Public/foto/custodia_ipad2_keyteck_CPD-04_1.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD2";"";"8033140058015";"CPD-05";"COVER IN TPU PER IPAD2 WHITE KEYTECK";"<p>Elegante custodia in TPU per IPAD2.<br>&Egrave; la soluzione ideale per proteggere il vostro dispositivo da cadute e urti.<br>Grazie ad un libero accesso a ogni porta e controllo, &egrave; inoltre possibile utilizzare appieno il dispositivo dal suo interno.</p>";"4";"KEYTECK";"5,66";"2";"http://www.entropic.it/Public/foto/custodia_ipad2_keyteck_CPD-05_1.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover GALAXY TAB";"";"8033140058022";"CPD-06";"COVER IN TPU PER GALAXY TAB BIANCO KEYTECK";"<p>La Cover Tablet Case keyteck ti permette di portare ovunque il tuo Galaxy Tab nel modo pi&ugrave; comodo e sicuro.<br>La sua composizione morbida ed elastica , &egrave; la miglior protezione per il tuo device da graffi , opacit&agrave; , piccole cadute , dalla normale usura del tempo e anche dagli urti pi&ugrave; forti.<br>Questa resistente custodia aderisce perfettamente al modello , presenta tutti i fori necessari per il completo utilizzo del Tablet , senza la necessit&agrave; di aggiustamenti e fori aggiuntivi.<br>Porta il tuo GALAXI TAB dove vuoi nel modo pi&ugrave; comodo e sicuro possibile con Tablet Case Keyteck.<br><br>Precauzioni<br>- Tenere il prodotto lontano dalla portata dei bambini di et&agrave; inferiore ai 3 anni<br>- Conservare lontano da fonti di calore. Temperature troppo elevate possono deformare o fondere le componenti in plastica<br>- Non utilizzare prodotti chimici corrosivi o sostanze abrasive per pulirlo.</p>";"3";"KEYTECK";"4,46";"2";"http://www.entropic.it/Public/foto/COVER_CPD-06_KEYTECK_GALAXY-TAB_BIANCO_1.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover GALAXY TAB";"";"8033140058039";"CPD-07";"COVER IN TPU PER GALAXY TAB VIOLA KEYTECK";"<p>La Cover Tablet Case keyteck ti permette di portare ovunque il tuo Galaxy Tab nel modo pi&ugrave; comodo e sicuro.<br>La sua composizione morbida ed elastica , &egrave; la miglior protezione per il tuo device da graffi , opacit&agrave; , piccole cadute , dalla normale usura del tempo e anche dagli urti pi&ugrave; forti.<br>Questa resistente custodia aderisce perfettamente al modello , presenta tutti i fori necessari per il completo utilizzo del Tablet , senza la necessit&agrave; di aggiustamenti e fori aggiuntivi.<br>Porta il tuo GALAXI TAB dove vuoi nel modo pi&ugrave; comodo e sicuro possibile con Tablet Case Keyteck.<br><br>Precauzioni<br>- Tenere il prodotto lontano dalla portata dei bambini di et&agrave; inferiore ai 3 anni<br>- Conservare lontano da fonti di calore. Temperature troppo elevate possono deformare o fondere le componenti in plastica<br>- Non utilizzare prodotti chimici corrosivi o sostanze abrasive per pulirlo.</p>";"3";"KEYTECK";"4,46";"2";"http://www.entropic.it/Public/foto/COVER_CPD-07_KEYTECK_GALAXY-TAB_VIOLA_1.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover GALAXY S";"";"80133140058046";"CPD-13";"COVER IN TPU PER GALAXY S TRASPARENTE NERO KEYTECK";"<p>CPD-13 <br>TPU CASE FOR GALAXY-S<br>TRASPARENTE COLORE NERO</p>";"12";"KEYTECK";"2,00";"2";"http://www.entropic.it/Public/foto/COVER_CPD-13_KEYTECK_GALAXY-S_NERO_1.jpg";"6,5";""
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover GALAXY S";"";"80133140058053";"CPD-14";"COVER IN TPU PER GALAXY S TRASPARENTE VIOLA KEYTECK";"<p>CPD-13 <br>TPU CASE FOR GALAXY-S<br>TRASPARENTE COLORE VIOLA</p>";"15";"KEYTECK";"2,00";"2";"http://www.entropic.it/Public/foto/COVER_CPD-14_KEYTECK_GALAXY-S_VIOLA_1.jpg";"6,5";""
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATT-F828";"BATT-F828";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND F828 1500 mAh Li-ion";"<p>BATTERIA per CELLULARI KDI/ANYCOO/KINGBOND F828<br><br> <br><br>Cellulari supportati:  Anycool F828<br><br>Type: Li-ion<br><br>Capacit&agrave;: 1500 mAh<br><br>Voltaggio: 3,7 v</p>";"7";"ANYCOOL";"5,00";"0,2";"http://www.entropic.it/Public/foto/batteria anycool.jpg";"5,5";""
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATT-T518";"BATT-T518";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND T518 1500 mAh Li-ion";"<p>BATTERIA per CELLULARI KDI/ANYCOO/KINGBOND T518<br><br><br><br>Cellulari supportati: Anycool T518<br><br>Type: Li-ion<br><br>Capacit&agrave;: 1500 mAh<br><br>Voltaggio: 3,7 v</p>";"10";"ANYCOOL";"5,00";"0,2";"http://www.entropic.it/Public/foto/batteria anycool.jpg";"5,5";""
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATTERIA-I89";"BATTERIA-I89";"RICAMBIO BATTERIA A LITIO ORIGINALE KDI/ANYCOOL/KINGBOND I89";"<p>BATTERIA per CELLULARI KDI/ANYCOO/KINGBOND I89<br><br><br><br>Cellulari supportati: Anycool I89<br><br>Type: Li-ion<br><br>Capacit&agrave;: 1100 mAh<br><br>Voltaggio: 3,7 v</p>";"18";"ANYCOOL";"5,70";"1";"http://www.entropic.it/Public/foto/batteria anycool.jpg";"5,5";""
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATTERIA-V869";"BATTERIA-V869";"BATTERIA A LITIO ORIGINALE KDI/ANYCOOL/KINGBOND V869";"<p>BATTERIA per CELLULARI KDI/ANYCOO/KINGBOND V869<br><br><br><br>Cellulari supportati: Anycool V869<br><br>Type: Li-ion<br><br>Capacit&agrave;: 1600 mAh<br><br>Voltaggio: 3,7 v</p>";"18";"ANYCOOL";"5,00";"1";"http://www.entropic.it/Public/foto/batteria anycool.jpg";"5,5";""
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATTERY-D38";"BATTERY-D38";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND D38 1500 mAh Li-ion";"<p>Batteria Originale compatibile per i modelli Anycool D38<br>Average voltage: 3,7V<br>Capacit&agrave;: 1500 mAh</p>";"10";"ANYCOOL";"5,00";"0,5";"http://www.entropic.it/Public/foto/batteria anycool.jpg";"5,5";""
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATTERY-D528";"BATTERY-D528";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND D528 1500 mAh Li-ion";"<p>Batteria Originale compatibile per i modelli Anycool D528<br>Average voltage: 3,7V<br>Capacit&agrave;: 1500 mAh</p>";"8";"ANYCOOL";"5,00";"0,5";"http://www.entropic.it/Public/foto/batteria anycool.jpg";"5,5";""
