Settore;Categoria;Tipologia;Codice;Descrizione1;Disponibilita;Marca;Prezzo;Peso;DescrizioneLungaHtml;Aliquota;UrlImgBig
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-03";"COVER IN TPU PER IPHONE 3G / 3GS ROSA KEYTECK";"Disponibile";"KEYTECK";"2,30";"0,5";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-03.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-06";"COVER IN AIRHOLE PER IPHONE 3G / 3GS BIANCA KEYTECK";"Disponibile";"KEYTECK";"2,57";"0,5";"<p>Cover per IPHONE 3G / 3GS biaca.<br>Protegge il tuo IPHONE da urti o graffi.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-06.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-07";"COVER IN AIRHOLE PER IPHONE 3G / 3GS NERA KEYTECK";"Non Disponibile";"KEYTECK";"2,57";"0,5";"<p>Cover per IPHONE 3G / 3GS NERA.<br>Protegge il tuo IPHONE da urti o graffi.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-07.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-08";"COVER IN AIRHOLE PER IPHONE 3G / 3GS SILVER KEYTECK";"Disponibile";"KEYTECK";"2,57";"0,5";"<p>Cover per IPHONE 3G / 3GS silver.<br>Protegge il tuo IPHONE da urti o graffi.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-08.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-09";"COVER IN TPU PER IPHONE 4G NERA KEYTECK";"Non Disponibile";"KEYTECK";"2,30";"0,5";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-PH-09.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-10";"COVER IN TPU PER IPHONE 4G BIANCA KEYTECK";"Non Disponibile";"KEYTECK";"2,30";"0,5";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-10.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-11";"COVER IN TPU PER IPHONE 4G ROSA KEYTECK";"Disponibile";"KEYTECK";"2,30";"0,5";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-11.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-12";"COVER IN AIRHOLE PER IPHONE 3G / 3GS ROSA KEYTECK";"Disponibile";"KEYTECK";"2,57";"0,5";"<p>Cover per IPHONE 3G / 3GS rosa.<br>Protegge il tuo IPHONE da urti o graffi.<br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-12.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-13";"COVER IN AIRHOLE PER IPHONE 4G BIANCA KEYTECK";"Disponibile";"KEYTECK";"2,57";"0,5";"<p>Cover per IPHONE 4 bianca.<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-13.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-14";"COVER IN AIRHOLE PER IPHONE 4G NERA KEYTECK";"Disponibile";"KEYTECK";"2,57";"0,5";"<p>Cover per IPHONE 4 nera .<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-14.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-15";"COVER IN AIRHOLE PER IPHONE 4G SILVER KEYTECK";"Disponibile";"KEYTECK";"2,57";"0,5";"<p>Cover per IPHONE 4 silver.<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-15.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-16";"COVER IN AIRHOLE PER IPHONE 4G ROSA KEYTECK";"Disponibile";"KEYTECK";"2,57";"0,5";"<p>Cover per IPHONE 4 rosa.<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-16.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"CPH-17";"COVER IN BUMPER PER IPHONE 4G TRASPARENTE KEYTECK";"Disponibile";"KEYTECK";"2,02";"0,5";"<p>Cover bumper per IPHONE 4 trasparente.<br>Protegge il tuo IPHONE da urti o graffi.<br><br><br>Compatibile per i seguenti modelli:<br><br>APPLE iPhone 4G</p>";"20";"http://www.entropic.it/Public/foto/cover_iphone_keyteck-CPH-17.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"MUCCPBKIP3G010";"COVER POSTERIORE PER APPLE iPhone 3G/3G S BANDIERA UK + SCREEN PROTECTOR";"Disponibile";"MUVIT";"8,90";"0,5";"<p>Cover flag bag posteriore protettiva con la bandiera inglese con screen protector.<br><br>Compatibile per i  seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"20";"http://www.entropic.it/Public/foto/cover-iphone-3g-uk.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"MUFLAGBACKIP3GUSA";"COVER POSTERIORE PER APPLE iPhone 3G/3G S BANDIERA U.S.A. + SCREEN PROTECTOR";"Non Disponibile";"MUVIT";"8,90";"0,5";"<p>Cover flag bag posteriore protettiva con la bandiera americana con screen protector.<br><br>Compatibile per i  seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"20";"http://www.entropic.it/Public/foto/cover-iphone-3g-usa.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"MULUXBACKIP3GPETRO";"COVER POSTERIORE PER APPLE iPhone 3G/3G S DISEGNI FLOREALI AZZURRO TRASPARENTE + SCREEN PROTECTOR";"Disponibile";"MUVIT";"8,90";"0,5";"<p>Cover posteriore protettiva argento con disegni florali azzurro trasparente, con <br>screen protector <br><br>Compatibile per i  seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"20";"http://www.entropic.it/Public/foto/cover-iphone-3g-luxury.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover APPLE iPhone";"SYLUMY001";"COVER POSTERIORE PER APPLE iPhone 3G/3G S SWEET YEARS LUMINESCENTE + SCREEN PROTECTOR";"Disponibile";"SWEET YEARS";"9,00";"0,5";"<p>Cover posteriore per proteggere il tuo iPhone SWEET YEARS, si illumina al buio.<br>Con screen protector.<br><br><br>Compatibile per i  seguenti modelli:<br><br>APPLE iPhone 3G <br>APPLE iPhone 3G 16GB <br>APPLE iPhone 3G 8GB<br>APPLE iPhone 3G S</p>";"20";"http://www.entropic.it/Public/foto/cover-iphone-3g-sweetyears-luminescente.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"CPD-01";"COVER IN TPU PER IPAD NERA KEYTECK";"Disponibile";"KEYTECK";"7,23";"2";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"20";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_CPD-01.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"CPD-02";"COVER IN TPU PER IPAD TRASPARENTE KEYTECK";"Disponibile";"KEYTECK";"7,23";"2";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"20";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_CPD-02.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"CPD-03";"CUSTODIA IN PELLE PER IPAD KEYTECK";"Disponibile";"KEYTECK";"10,97";"1,5";"<p>Elegante custodia in pelle per IPAD.<br>&Egrave; la soluzione ideale per proteggere il vostro dispositivo da cadute e urti.<br>Grazie ad un libero accesso a ogni porta e controllo, &egrave; inoltre possibile utilizzare appieno il dispositivo dal suo interno.</p>";"20";"http://www.entropic.it/Public/foto/custodia_ipad_keyteck_CPD-03.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-002";"CUSTODIA KEYTECK CRYSTAL PER IPAD I-002";"Disponibile";"KEYTECK";"4,61";"1,5";"<p>Il leggero ma robusto Crystal Case Keyteck garantisce un'elevata protezione al tuo IPAD grazie al suo guscio realizzato in policarbonato.<br>Aderendo perfettamente, mantiene un design sottile e fornisce anche un facile accesso a tutte le porte del dispositivo senza doverlo rimuovere dalla custodia.</p>";"20";"http://www.entropic.it/Public/foto/CRYSTAL_CASE_PER_IPAD_I-002.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-006BK";"COVER IN TPU NERA PER IPAD KEYTECK";"Disponibile";"KEYTECK";"4,48";"2";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"20";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_I-006BK.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-006PK";"COVER IN TPU ROSA PER IPAD KEYTECK";"Disponibile";"KEYTECK";"4,48";"2";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"20";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_I-006PK.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-006T";"COVER IN TPU TRASPARENTE PER IPAD KEYTECK";"Disponibile";"KEYTECK";"4,48";"2";"<p>La cover &egrave; realizzata in TPU, un particolare materiale che pu&ograve; essere distorto senza alcuna crepa o rottura.<br>Conferisce al tuo dispositivo la massima protezione contro graffi e rigature, consentendo di tenerlo come nuovo.</p>";"20";"http://www.entropic.it/Public/foto/cover_IPAD_keyteck_I-006T.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-022";"CUSTODIA E STAND KEYTECK IN PELLE NERA PER IPAD I-022";"Disponibile";"KEYTECK";"7,03";"1";"<p>Elegante custodia-stand in pelle. &Egrave; la soluzione ideale per proteggere il vostro dispositivo da cadute e urti.<br>Grazie a un libero accesso a ogni porta e controllo, &egrave; inoltre possibile utilizzare appieno il dispositivo dal suo interno.<br>Grazie ad un'aletta a scomparsa posta sul retro, &egrave; possibile posizionare il dispositivo in landscape e regolarne l'inclinazione.</p>";"20";"http://www.entropic.it/Public/foto/custodia_e_supporto_ipad_keyteck_I-022.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-024AZ";"CUSTODIA AZZURRA SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"Disponibile";"KEYTECK";"3,06";"1,5";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"20";"http://www.entropic.it/Public/foto/I-024AZ_keyteck_custodia_SHOCKOLOR.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-024BK";"CUSTODIA NERA SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"Disponibile";"KEYTECK";"3,06";"1,5";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"20";"http://www.entropic.it/Public/foto/I-024BK_keyteck_custodia_SHOCKOLOR.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-024GR";"CUSTODIA VERDE SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"Disponibile";"KEYTECK";"3,06";"1,5";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"20";"http://www.entropic.it/Public/foto/I-024GR_keyteck_custodia_SHOCKOLOR.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-024OR";"CUSTODIA ARANCIONE SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"Disponibile";"KEYTECK";"3,06";"1,5";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"20";"http://www.entropic.it/Public/foto/I-024OR_keyteck_custodia_SHOCKOLOR.jpg"
"Telefonia";"ACCESSORI CELLULARI IPAD PHONE ";"Cover IPAD";"I-024PK";"CUSTODIA VIOLA SHOCKOLOR PER IPAD E NETBOOK 10''  KEYTECK";"Disponibile";"KEYTECK";"3,06";"1,5";"<p>Le Shockolor Keyteck sono progettate per proteggere il vostro IPAD, tablet o netbook (fino a 10'') da urti e graffi grazie al morbido materiale interno.<br>Il loro aspetto, semplice e colorato, completeranno il look del vostro dispositivo.<br>Usato da solo o all'interno di un'altra borsa o zaino, &egrave; ideale per proteggere il vostro dispositivo da eventuali danni.<br><br>- Rivestito internamente con un morbido materiale per prevenire danni e graffi<br>- Adatto per dispositivi fino a 10''</p>";"20";"http://www.entropic.it/Public/foto/I-024PK_keyteck_custodia_SHOCKOLOR.jpg"
