Settore;Categoria;Tipologia;Gruppo;Ean;Codice;Descrizione1;DescrizioneLunga;Marca;Peso;Giacenza;Prezzo;Disponibilita;Link;UrlImg;UrlImgBig;SpeseSpedizione;Comparatore
"Telefonia";"Accessori Cellulari CINESI";"";"";"Motor-T828";"Motor-T828";"MOTOR VIBRATOR KDI/ANYCOOL/KINGBOND T828";"Motor vibrator Anycool/Kdi/Kingbond T828Se il vostro cellulare non vibra causa urti o cadute, questo non &egrave; grave; il motor per la vibrazione risolver&agrave; il vostro problemaNel caso per la sostituzione presso il nostro centro bisogna aggiungere Euro 13,00 al costo del ricambio.";"ANYCOOL";"0.01";"0";"3.50";"Non Disponibile";"http://server2/articolo.aspx?id=12631&comparatore=PGSYSTEM";"http://server2/Public/foto/_motore_vibrazione_t828.jpg";"http://server2/Public/foto/motore_vibrazione_t828.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"";"";"UNIVERSAL-USB";"UNIVERSAL-USB";"CARICABATTERIE USB UNIVERSALE KDI/ANYCOOL/KINGBOND";"Funziona con qualsiasi tipo di cellulare che si ricarica tramite USB.Baster&agrave; avere unicamente una presa di corrente per poter ricaricare le batterie del cellulare.Un accessorio fondamentale da portare sempre con voi.Caratteristiche: INPUT: AC 100-240V 50/60 Hz OUTPUT: DV5.0V +/- 5% MASSIMO: 400 mA LED INDICATORE SPINA TIPO ITALIANO (NON SERVE ADATTATORE)";"ANYCOOL";"0";"-14";"3.50";"Non Disponibile";"http://server2/articolo.aspx?id=12740&comparatore=PGSYSTEM";"http://server2/Public/foto/_caricabatterie usb universale.jpg";"http://server2/Public/foto/caricabatterie usb universale.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"";"";"V-COVERT828";"V-COVERT828";"COVER COMPLETO ORIGINALE ANYCOOL T828";"COVER ORIGINALE COMPLETO PER ANYCOOL T828";"ANYCOOL";"0.02";"0";"15.00";"Non Disponibile";"http://server2/articolo.aspx?id=12327&comparatore=PGSYSTEM";"http://server2/Public/foto/_caricabatterie usb universale.jpg";"http://server2/Public/foto/caricabatterie usb universale.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"";"";"V-SIM";"V-SIM";"Alloggiamento sim per Anycool T628-T808-T818-T828-F818";"Alloggiamento della sim originale Anycool per i seguenti cellulari: T628-T808-T818-T828-F818";"ANYCOOL";"0.02";"0";"4.50";"Non Disponibile";"http://server2/articolo.aspx?id=12326&comparatore=PGSYSTEM";"http://server2/Public/foto/_caricabatterie usb universale.jpg";"http://server2/Public/foto/caricabatterie usb universale.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATT-F828";"BATT-F828";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND F828 1500 mAh Li-ion";"BATTERIA per CELLULARI KDI/ANYCOO/KINGBOND F828 Cellulari supportati:  Anycool F828Type: Li-ionCapacit&agrave;: 1500 mAhVoltaggio: 3,7 v";"ANYCOOL";"0.2";"8";"5.00";"Disponibile";"http://server2/articolo.aspx?id=12885&comparatore=PGSYSTEM";"http://server2/Public/foto/_batteria anycool.jpg";"http://server2/Public/foto/batteria anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATT-T518";"BATT-T518";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND T518 1500 mAh Li-ion";"BATTERIA per CELLULARI KDI/ANYCOO/KINGBOND T518Cellulari supportati: Anycool T518Type: Li-ionCapacit&agrave;: 1500 mAhVoltaggio: 3,7 v";"ANYCOOL";"0.2";"10";"5.00";"Disponibile";"http://server2/articolo.aspx?id=12886&comparatore=PGSYSTEM";"http://server2/Public/foto/_batteria anycool.jpg";"http://server2/Public/foto/batteria anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATTERIA-I89";"BATTERIA-I89";"RICAMBIO BATTERIA A LITIO ORIGINALE KDI/ANYCOOL/KINGBOND I89";"BATTERIA per CELLULARI KDI/ANYCOO/KINGBOND I89Cellulari supportati: Anycool I89Type: Li-ionCapacit&agrave;: 1100 mAhVoltaggio: 3,7 v";"ANYCOOL";"1";"20";"5.70";"Disponibile";"http://server2/articolo.aspx?id=13275&comparatore=PGSYSTEM";"http://server2/Public/foto/_batteria anycool.jpg";"http://server2/Public/foto/batteria anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATTERIA-V869";"BATTERIA-V869";"BATTERIA A LITIO ORIGINALE KDI/ANYCOOL/KINGBOND V869";"BATTERIA per CELLULARI KDI/ANYCOO/KINGBOND V869Cellulari supportati: Anycool V869Type: Li-ionCapacit&agrave;: 1600 mAhVoltaggio: 3,7 v";"ANYCOOL";"1";"20";"5.00";"Disponibile";"http://server2/articolo.aspx?id=13268&comparatore=PGSYSTEM";"http://server2/Public/foto/_batteria anycool.jpg";"http://server2/Public/foto/batteria anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATTERY-D38";"BATTERY-D38";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND D38 1500 mAh Li-ion";"Batteria Originale compatibile per i modelli Anycool D38Average voltage: 3,7VCapacit&agrave;: 1500 mAh";"ANYCOOL";"0.5";"10";"5.00";"Disponibile";"http://server2/articolo.aspx?id=13016&comparatore=PGSYSTEM";"http://server2/Public/foto/_batteria anycool.jpg";"http://server2/Public/foto/batteria anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATTERY-D528";"BATTERY-D528";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND D528 1500 mAh Li-ion";"Batteria Originale compatibile per i modelli Anycool D528Average voltage: 3,7VCapacit&agrave;: 1500 mAh";"ANYCOOL";"0.5";"9";"5.00";"Disponibile";"http://server2/articolo.aspx?id=13019&comparatore=PGSYSTEM";"http://server2/Public/foto/_batteria anycool.jpg";"http://server2/Public/foto/batteria anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"V-BAT01";"V-BAT01";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND T808-T818-T828 1800 mAh Li-ion";"Batteria Originale compatibile per i modelli Anycool T808-T818-T828 Average voltage: 3,7VCapacit&agrave;: 1800 mAh";"ANYCOOL";"0.05";"28";"5.50";"Disponibile";"http://server2/articolo.aspx?id=12013&comparatore=PGSYSTEM";"http://server2/Public/foto/_batterie anycool.jpg";"http://server2/Public/foto/batterie anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"V-BATT02";"V-BATT02";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND i939 1800 mAh Li-ion";"Batteria Originale compatibile per i modelli Anycool i939Average voltage: 3,7VCapacit&agrave;: 1800 mAh";"ANYCOOL";"0.05";"17";"5.50";"Disponibile";"http://server2/articolo.aspx?id=12014&comparatore=PGSYSTEM";"http://server2/Public/foto/_batterie anycool.jpg";"http://server2/Public/foto/batterie anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"V-BATT03";"V-BATT03";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND i929 1800 mAh Li-ion";"Batteria Originale compatibile per i modelli Anycool i929Average voltage: 3,7VCapacit&agrave;: 1800 mAh";"ANYCOOL";"0.05";"19";"5.50";"Disponibile";"http://server2/articolo.aspx?id=12015&comparatore=PGSYSTEM";"http://server2/Public/foto/_batterie anycool.jpg";"http://server2/Public/foto/batterie anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"V-BATT04";"V-BATT04";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND T718 T718+ 1500 mAh Li-ion";"Batteria Originale compatibile per i modelli Anycool T718 T718+Average voltage: 3,7VCapacit&agrave;: 1500 mAh";"ANYCOOL";"0.1";"8";"5.50";"Disponibile";"http://server2/articolo.aspx?id=12016&comparatore=PGSYSTEM";"http://server2/Public/foto/_batterie anycool.jpg";"http://server2/Public/foto/batterie anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATT V868";"V-BATT05";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND V868 1800 mAh Li-ion";"Batteria Originale compatibile per i modelli Anycool V868Average voltage: 3,7VCapacit&agrave;: 1800 mAh";"ANYCOOL";"0.5";"-11";"5.00";"Non Disponibile";"http://server2/articolo.aspx?id=12872&comparatore=PGSYSTEM";"http://server2/Public/foto/_batteria anycool.jpg";"http://server2/Public/foto/batteria anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Batterie";"";"BATT T728";"V-BATT06";"BATTERIA ORIGINALE KDI/ANYCOOL/KINGBOND T728 1800 mAh Li-ion";"Batteria Originale compatibile per i modelli Anycool T728Average voltage: 3,7VCapacit&agrave;: 1800 mAh";"ANYCOOL";"0.5";"-1";"5.00";"Non Disponibile";"http://server2/articolo.aspx?id=12873&comparatore=PGSYSTEM";"http://server2/Public/foto/_batteria anycool.jpg";"http://server2/Public/foto/batteria anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Auricolari";"";"V-AURIC01";"V-AURIC01";"AURICOLARE ORIGINALE KDI/ANYCOOL/KINGBOND i939";"Auricolare Originale compatibile per i modelli Anycool i939";"ANYCOOL";"0.5";"5";"4.00";"Disponibile";"http://server2/articolo.aspx?id=12025&comparatore=PGSYSTEM";"http://server2/Public/foto/_auricolare cellulari anycool.jpg";"http://server2/Public/foto/auricolare cellulari anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Auricolari";"";"V-AURIC02";"V-AURIC02";"Auricolare Originale Anycool i929";"Auricolare Originale compatibile per i modelli Anycool i929";"ANYCOOL";"0.1";"23";"4.20";"Disponibile";"http://server2/articolo.aspx?id=12026&comparatore=PGSYSTEM";"http://server2/Public/foto/_auricolare cellulari anycool.jpg";"http://server2/Public/foto/auricolare cellulari anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Auricolari";"";"V-AURIC03";"V-AURIC03";"Auricolare Originale Anycool T718";"Auricolare Originale compatibile per i modelli Anycool T718";"ANYCOOL";"0.1";"5";"4.20";"Disponibile";"http://server2/articolo.aspx?id=12027&comparatore=PGSYSTEM";"http://server2/Public/foto/_auricolare cellulari anycool.jpg";"http://server2/Public/foto/auricolare cellulari anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Auricolari";"";"V-AURIC04";"V-AURIC04";"Auricolare Originale Anycool T808-T818-T828";"Auricolare Originale compatibile per i modelli Anycool T718";"ANYCOOL";"0.1";"-5";"4.20";"Non Disponibile";"http://server2/articolo.aspx?id=12028&comparatore=PGSYSTEM";"http://server2/Public/foto/_auricolare cellulari anycool.jpg";"http://server2/Public/foto/auricolare cellulari anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Display";"";"DISPLAY T628";"DISPLAY T628";"DISPLAY LCD ORIGINALE KDI/ANYCOOL/KINGBOND T628";"Display LCD interno come da fotoper ANYCOOL T628la sostituzione necessita di una saldatura, quindi non ci accettano reclami per lo scorretto montaggio del displayQuesto prodotto &egrave; Originale al 100% dalla casa madre KDINuovo e OEM non blisterato perch&egrave;trattasi di prodotto destinato ai centri assistenzaImportante Il prodotto in vendita &egrave; un articolo ORIGINALE. La Entropic provvede a rilasciare una garanzia di 3 mesi dal giorno di emissione della ricevuta e/o fattura. Sostituzione:Ricordiamo ai clienti che la sostituzione per malfunzionamento o difetto dell'oggetto &egrave; possibile soltanto se l'oggetto viene prima testato e non assemblato, non saranno accettate sostituzioni di parti saldate o applicate con collanti. L'oggetto inoltre dovr&agrave; essere rispedito completo di tutti gli accessori applicati (pellicole, adesivi, etc..) Riparazione:Avendo a disposizione un centro di assitenza con uno staff qualificato per questi prodotti, effettuiamo la riparazione del tuo cellulare con solo Euro 20,00.Non esitare a contattarci per qualsiasi problema o per informazione sui ricambi, saremi ben lieti di darvi tutta la nostra assistenza possibile.";"ANYCOOL";"1";"10";"20.00";"Disponibile";"http://server2/articolo.aspx?id=12997&comparatore=PGSYSTEM";"http://server2/Public/foto/_auricolare cellulari anycool.jpg";"http://server2/Public/foto/auricolare cellulari anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Display";"";"Display T728";"Display T728";"DISPLAY LCD ORIGINALE KDI/ANYCOOL/KINGBOND T728";"DISPLAY ORIGINALE ANYCOOL T728 Questo display &egrave; originale prodotto e distribuito direttamente dalla casa produttrice la KDI con sede a HONG KONG.....si f&agrave; presente che per il corretto funzionamento del display va montato da persone che hanno dimestichezza nel campo dell'elettronica.Importante Il prodotto in vendita &egrave; un articolo ORIGINALE. La Entropic provvede a rilasciare una garanzia di 3 mesi dal giorno di emissione della ricevuta e/o fattura. Sostituzione:Ricordiamo ai clienti che la sostituzione per malfunzionamento o difetto dell'oggetto &egrave; possibile soltanto se l'oggetto viene prima testato e non assemblato, non saranno accettate sostituzioni di parti saldate o applicate con collanti. L'oggetto inoltre dovr&agrave; essere rispedito completo di tutti gli accessori applicati (pellicole, adesivi, etc..) N.B.Se installato su modelli non originali il telefono necessita di aggiornamento software altrimenti non si visualizza la grafica, il disply si vede bianco.Gestendo la garanzia su tutti i tipi di cellulari abbiamo un centro di assistenza dove facciamo riparazione....il costo della riparazione del cambio display+Aggiornamento &egrave; di Euro 12,00 con l'acquisto del display. REGOLA PER USUFRUIRE DEL NOSTRO SERVIZIO ASSISTENZA:Siamo a vostra completa disposizione per l'assistenza, quindi per evitare cattivi fraintendimenti il cliente al momento della partenza deve comunicare lo stato del telefono cellulare con gli eventuali difetti precisi scritti.Facciamo presente che al momento dell'arrivo presso il nostro laboratorio, verr&agrave; fatto una scheda in cui verranno segnalati tutti i difetti estetici che successivamente verranno comunicati al cliente.Ricordiamo inoltre che la merce viaggia a rischio e pericolo del cliente, quindi non si accettano reclami se il prodotto arriva danneggiato.";"ANYCOOL";"0.01";"1";"25.00";"Disponibile";"http://server2/articolo.aspx?id=12629&comparatore=PGSYSTEM";"http://server2/Public/foto/_auricolare cellulari anycool.jpg";"http://server2/Public/foto/auricolare cellulari anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Display";"";"DISPLAY-D38";"DISPLAY-D38";"DISPLAY LCD ORIGINALE KDI/ANYCOOL/KINGBOND D38";"DISPLAY originale per i brand KDI/ANYCOOL/KINGBOND per il modelli D38Questo display &egrave; originale prodotto e distribuito direttamente dalla casa produttrice la KDI con sede a HONG KONG.....si f&agrave; presente che per il corretto funzionamento del display va montato da persone che hanno dimestichezza nel campo dell'elettronica.Importante Il prodotto in vendita &egrave; un articolo ORIGINALE. La Entropic provvede a rilasciare una garanzia di 3 mesi dal giorno di emissione della ricevuta e/o fattura. Sostituzione:Ricordiamo ai clienti che la sostituzione per malfunzionamento o difetto dell'oggetto &egrave; possibile soltanto se l'oggetto viene prima testato e non assemblato, non saranno accettate sostituzioni di parti saldate o applicate con collanti. L'oggetto inoltre dovr&agrave; essere rispedito completo di tutti gli accessori applicati (pellicole, adesivi, etc..) N.B.Se installato su modelli non originali il telefono necessita di aggiornamento software altrimenti non si visualizza la grafica, il disply si vede bianco.Gestendo la garanzia su tutti i tipi di cellulari abbiamo un centro di assistenza dove facciamo riparazione....il costo della riparazione del cambio display+Aggiornamento &egrave; di Euro 12,00 con l'acquisto del display. REGOLA PER USUFRUIRE DEL NOSTRO SERVIZIO ASSISTENZA:Siamo a vostra completa disposizione per l'assistenza, quindi per evitare cattivi fraintendimenti il cliente al momento della partenza deve comunicare lo stato del telefono cellulare con gli eventuali difetti precisi scritti.Facciamo presente che al momento dell'arrivo presso il nostro laboratorio, verr&agrave; fatto una scheda in cui verranno segnalati tutti i difetti estetici che successivamente verranno comunicati al cliente.Ricordiamo inoltre che la merce viaggia a rischio e pericolo del cliente, quindi non si accettano reclami se il prodotto arriva danneggiato.";"ANYCOOL";"5";"5";"19.00";"Disponibile";"http://server2/articolo.aspx?id=12941&comparatore=PGSYSTEM";"http://server2/Public/foto/_display_d38_anycool.jpg";"http://server2/Public/foto/display_d38_anycool.jpg";"7.50";#Comparatore#
"Telefonia";"Accessori Cellulari CINESI";"Display";"";"DISPLAY-D528";"DISPLAY-D528";"DISPLAY LCD ORIGINALE KDI/ANYCOOL/KINGBOND D528";"DISPLAY originale per i brand KDI/ANYCOOL/KINGBOND per il modelli D528Importante Il prodotto in vendita &egrave; un articolo ORIGINALE. La Entropic provvede a rilasciare una garanzia di 3 mesi dal giorno di emissione della ricevuta e/o fattura. Sostituzione:Ricordiamo ai clienti che la sostituzione per malfunzionamento o difetto dell'oggetto &egrave; possibile soltanto se l'oggetto viene prima testato e non assemblato, non saranno accettate sostituzioni di parti saldate o applicate con collanti. L'oggetto inoltre dovr&agrave; essere rispedito completo di tutti gli accessori applicati (pellicole, adesivi, etc..) Riparazione:Avendo a disposizione un centro di assitenza con uno staff qualificato per questi prodotti, effettuiamo la riparazione del tuo cellulare con solo Euro 20,00.Non esitare a contattarci per qualsiasi problema o per informazione sui ricambi, saremi ben lieti di darvi tutta la nostra assistenza possibile.";"ANYCOOL";"0.5";"5";"19.90";"Disponibile";"http://server2/articolo.aspx?id=12942&comparatore=PGSYSTEM";"http://server2/Public/foto/_display_d528_anycool.jpg";"http://server2/Public/foto/display_d528_anycool.jpg";"7.50";#Comparatore#
